zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
"2020-08-17 22:51:52","2024-07-10 22:50:20",,,1034,"unifiprotocol.com.","NS","com.","jule.ns.cloudflare.com."
"2020-08-17 22:51:52","2024-07-10 22:50:20",,,1034,"unifiprotocol.com.","NS","com.","jerry.ns.cloudflare.com."
,,"2020-10-14 22:17:34","2024-07-09 09:55:45",13536,"unifiprotocol.com.","A","unifiprotocol.com.","104.26.10.168"
,,"2020-10-14 22:17:34","2024-07-09 09:55:45",13536,"unifiprotocol.com.","A","unifiprotocol.com.","104.26.11.168"
,,"2020-10-14 22:17:34","2024-07-09 09:55:45",13536,"unifiprotocol.com.","A","unifiprotocol.com.","172.67.74.50"
,,"2023-03-12 04:46:46","2024-07-12 15:15:19",2231,"unifiprotocol.com.","A","unifiprotocol.com.","188.114.98.229"
,,"2023-03-12 04:46:46","2024-07-12 15:15:19",2231,"unifiprotocol.com.","A","unifiprotocol.com.","188.114.99.229"
,,"2020-08-17 15:32:22","2024-07-13 03:40:08",111672,"unifiprotocol.com.","NS","com.","jule.ns.cloudflare.com."
,,"2020-08-17 15:32:22","2024-07-13 03:40:08",111672,"unifiprotocol.com.","NS","com.","jerry.ns.cloudflare.com."
,,"2020-09-06 01:39:04","2024-07-12 00:48:57",499,"unifiprotocol.com.","NS","unifiprotocol.com.","jule.ns.cloudflare.com."
,,"2020-09-06 01:39:04","2024-07-12 00:48:57",499,"unifiprotocol.com.","NS","unifiprotocol.com.","jerry.ns.cloudflare.com."
,,"2024-06-26 21:17:45","2024-07-09 09:43:46",18,"unifiprotocol.com.","SOA","unifiprotocol.com.","jerry.ns.cloudflare.com. dns.cloudflare.com. 2344861574 10000 2400 604800 1800"
,,"2024-07-09 20:26:45","2024-07-11 10:29:57",7,"unifiprotocol.com.","SOA","unifiprotocol.com.","jerry.ns.cloudflare.com. dns.cloudflare.com. 2346004485 10000 2400 604800 1800"
,,"2021-01-21 00:45:26","2024-07-05 09:39:14",500,"unifiprotocol.com.","MX","unifiprotocol.com.","1 aspmx.l.google.com."
,,"2021-01-21 00:45:26","2024-07-05 09:39:14",500,"unifiprotocol.com.","MX","unifiprotocol.com.","5 alt1.aspmx.l.google.com."
,,"2021-01-21 00:45:26","2024-07-05 09:39:14",500,"unifiprotocol.com.","MX","unifiprotocol.com.","5 alt2.aspmx.l.google.com."
,,"2021-01-21 00:45:26","2024-07-05 09:39:14",500,"unifiprotocol.com.","MX","unifiprotocol.com.","10 alt3.aspmx.l.google.com."
,,"2021-01-21 00:45:26","2024-07-05 09:39:14",500,"unifiprotocol.com.","MX","unifiprotocol.com.","10 alt4.aspmx.l.google.com."
,,"2022-08-16 13:10:25","2024-07-09 04:54:13",38,"unifiprotocol.com.","TXT","unifiprotocol.com.","\"v=spf1 include:_spf.google.com include:spf.mandrillapp.com ?all\""
,,"2020-10-14 23:22:05","2024-07-08 23:26:15",6166,"unifiprotocol.com.","AAAA","unifiprotocol.com.","2606:4700:20::681a:aa8"
,,"2020-10-14 23:22:05","2024-07-08 23:26:15",6166,"unifiprotocol.com.","AAAA","unifiprotocol.com.","2606:4700:20::681a:ba8"
,,"2020-10-14 23:22:05","2024-07-08 23:26:15",6166,"unifiprotocol.com.","AAAA","unifiprotocol.com.","2606:4700:20::ac43:4a32"
,,"2023-03-12 04:46:45","2024-07-12 23:56:41",1148,"unifiprotocol.com.","AAAA","unifiprotocol.com.","2a06:98c1:3122:e000::5"
,,"2023-03-12 04:46:45","2024-07-12 23:56:41",1148,"unifiprotocol.com.","AAAA","unifiprotocol.com.","2a06:98c1:3123:e000::5"
,,"2023-05-25 08:32:16","2024-07-12 23:56:36",1034,"unifiprotocol.com.","HTTPS","unifiprotocol.com.","1 . alpn=\"h3,h2\" ipv4hint=188.114.98.229,188.114.99.229 ipv6hint=2a06:98c1:3122:e000::5,2a06:98c1:3123:e000::5"
,,"2023-05-22 21:27:22","2024-07-08 23:26:15",361,"unifiprotocol.com.","HTTPS","unifiprotocol.com.","1 . alpn=\"h3,h2\" ipv4hint=104.26.10.168,104.26.11.168,172.67.74.50 ipv6hint=2606:4700:20::681a:aa8,2606:4700:20::681a:ba8,2606:4700:20::ac43:4a32"
