zone_time_first,zone_time_last,time_first,time_last,count,rrname,rrtype,bailiwick,rdata
1704495021,1720651820,,,164,"tna-btc.com.","NS","com.","dns1.p07.nsone.net."
1704495021,1720651820,,,164,"tna-btc.com.","NS","com.","dns2.p07.nsone.net."
1704495021,1720651820,,,164,"tna-btc.com.","NS","com.","dns3.p07.nsone.net."
1704495021,1720651820,,,164,"tna-btc.com.","NS","com.","dns4.p07.nsone.net."
1704495021,1720651820,,,164,"tna-btc.com.","NS","com.","ns01.squarespacedns.com."
1704495021,1720651820,,,164,"tna-btc.com.","NS","com.","ns02.squarespacedns.com."
1704495021,1720651820,,,164,"tna-btc.com.","NS","com.","ns03.squarespacedns.com."
1704495021,1720651820,,,164,"tna-btc.com.","NS","com.","ns04.squarespacedns.com."
,,1705926640,1720734313,1915,"tna-btc.com.","A","tna-btc.com.","34.87.100.217"
,,1704427649,1720734313,3143,"tna-btc.com.","NS","com.","dns1.p07.nsone.net."
,,1704427649,1720734313,3143,"tna-btc.com.","NS","com.","dns2.p07.nsone.net."
,,1704427649,1720734313,3143,"tna-btc.com.","NS","com.","dns3.p07.nsone.net."
,,1704427649,1720734313,3143,"tna-btc.com.","NS","com.","dns4.p07.nsone.net."
,,1704427649,1720734313,3143,"tna-btc.com.","NS","com.","ns01.squarespacedns.com."
,,1704427649,1720734313,3143,"tna-btc.com.","NS","com.","ns02.squarespacedns.com."
,,1704427649,1720734313,3143,"tna-btc.com.","NS","com.","ns03.squarespacedns.com."
,,1704427649,1720734313,3143,"tna-btc.com.","NS","com.","ns04.squarespacedns.com."
,,1704427654,1720734313,1050,"tna-btc.com.","SOA","tna-btc.com.","dns1.p01.nsone.net. hostmaster.nsone.net. 1704425671 43200 7200 1209600 3600"
,,1707653012,1720258097,16,"tna-btc.com.","MX","tna-btc.com.","1 smtp.google.com."
